"","ppt","age","sex","condition","version","type_quest","type_resp","resp","conf","type","cond_rc","cond_rc2","type_rc","type_rc2"
"206",18,18,"H","Contrôle","B","leading_2","2ème étage",0,2,"leading",0,2,1,1
"207",18,18,"H","Contrôle","B","leading_3","""députés tous pourris""",1,3,"leading",0,2,1,1
"208",18,18,"H","Contrôle","B","leading_4","blanche",0,5,"leading",0,2,1,1
"209",18,18,"H","Contrôle","B","misleading_1","Femme",0,5,"misleading",0,2,-2,0
"210",18,18,"H","Contrôle","B","misleading_2","menaces d'attentat",0,4,"misleading",0,2,-2,0
"211",18,18,"H","Contrôle","B","misleading_3","salle",1,5,"misleading",0,2,-2,0
"212",18,18,"H","Contrôle","B","misleading_4","matraque",1,5,"misleading",0,2,-2,0
"213",18,18,"H","Contrôle","B","neutral_1","3",1,2,"neutral",0,2,1,-1
"214",18,18,"H","Contrôle","B","neutral_2","Bras",0,1,"neutral",0,2,1,-1
"215",18,18,"H","Contrôle","B","neutral_3","Quasiment pleine",1,1,"neutral",0,2,1,-1
"216",18,18,"H","Contrôle","B","neutral_4","Tête",1,5,"neutral",0,2,1,-1
"217",19,19,"F","Contrôle","B","leading_1","Police",1,5,"leading",0,2,1,1
"218",19,19,"F","Contrôle","B","leading_2","2ème étage",0,1,"leading",0,2,1,1
"219",19,19,"F","Contrôle","B","leading_3","""députés tous pourris""",1,5,"leading",0,2,1,1
"220",19,19,"F","Contrôle","B","leading_4","bleue",1,5,"leading",0,2,1,1
"221",19,19,"F","Contrôle","B","misleading_1","Femme",0,2,"misleading",0,2,-2,0
"222",19,19,"F","Contrôle","B","misleading_2","menaces d'attentat",0,5,"misleading",0,2,-2,0
"223",19,19,"F","Contrôle","B","misleading_3","salle",1,5,"misleading",0,2,-2,0
"224",19,19,"F","Contrôle","B","misleading_4","matraque",1,5,"misleading",0,2,-2,0
"225",19,19,"F","Contrôle","B","neutral_1","2",0,3,"neutral",0,2,1,-1
